,GEO_ID,NAME,tot_poverty,pov_150
335,0500000US12031,"Duval County, Florida",132346,220467
336,0500000US12033,"Escambia County, Florida",41439,69412
337,0500000US12035,"Flagler County, Florida",13488,25194
338,0500000US12037,"Franklin County, Florida",1917,3338
339,0500000US12039,"Gadsden County, Florida",9681,14250
340,0500000US12041,"Gilchrist County, Florida",2827,5527
341,0500000US12043,"Glades County, Florida",2143,4118
342,0500000US12045,"Gulf County, Florida",1690,2800
343,0500000US12047,"Hamilton County, Florida",3296,4313
344,0500000US12049,"Hardee County, Florida",6105,10982
345,0500000US12051,"Hendry County, Florida",10159,16027
346,0500000US12053,"Hernando County, Florida",25902,45303
347,0500000US12055,"Highlands County, Florida",18949,31865
348,0500000US12057,"Hillsborough County, Florida",204145,333827
349,0500000US12059,"Holmes County, Florida",4004,6158
350,0500000US12061,"Indian River County, Florida",17418,32966
351,0500000US12063,"Jackson County, Florida",7787,12407
352,0500000US12065,"Jefferson County, Florida",1984,3549
353,0500000US12067,"Lafayette County, Florida",910,2277
354,0500000US12069,"Lake County, Florida",40961,76123
355,0500000US12071,"Lee County, Florida",95303,162220
356,0500000US12073,"Leon County, Florida",56797,79520
357,0500000US12075,"Levy County, Florida",8270,13671
358,0500000US12077,"Liberty County, Florida",1163,2482
359,0500000US12079,"Madison County, Florida",4523,6221
360,0500000US12081,"Manatee County, Florida",44627,80380
361,0500000US12083,"Marion County, Florida",55192,92339
362,0500000US12085,"Martin County, Florida",15367,28669
363,0500000US12086,"Miami-Dade County, Florida",455005,783585
364,0500000US12087,"Monroe County, Florida",8160,14158
365,0500000US12089,"Nassau County, Florida",8680,12840
366,0500000US12091,"Okaloosa County, Florida",21567,38003
367,0500000US12093,"Okeechobee County, Florida",7982,12685
368,0500000US12095,"Orange County, Florida",195467,332538
369,0500000US12097,"Osceola County, Florida",51791,97487
370,0500000US12099,"Palm Beach County, Florida",175742,304296
371,0500000US12101,"Pasco County, Florida",65753,115109
372,0500000US12103,"Pinellas County, Florida",116107,197496
373,0500000US12105,"Polk County, Florida",106475,186292
374,0500000US12107,"Putnam County, Florida",16932,27654
375,0500000US12109,"St. Johns County, Florida",19779,32564
376,0500000US12111,"St. Lucie County, Florida",41284,75133
377,0500000US12113,"Santa Rosa County, Florida",16210,28446
378,0500000US12115,"Sarasota County, Florida",37035,67307
379,0500000US12117,"Seminole County, Florida",48688,83403
380,0500000US12119,"Sumter County, Florida",9445,17551
381,0500000US12121,"Suwannee County, Florida",6287,11203
382,0500000US12123,"Taylor County, Florida",3782,5502
383,0500000US12125,"Union County, Florida",1988,2936
384,0500000US12127,"Volusia County, Florida",75014,126472
385,0500000US12129,"Wakulla County, Florida",3533,5908
386,0500000US12131,"Walton County, Florida",8772,14560
387,0500000US12133,"Washington County, Florida",5291,8279
388,0500000US13001,"Appling County, Georgia",4042,6702
389,0500000US13003,"Atkinson County, Georgia",2482,3695
390,0500000US13005,"Bacon County, Georgia",2486,4198
391,0500000US13007,"Baker County, Georgia",717,938
392,0500000US13009,"Baldwin County, Georgia",9725,13947
393,0500000US13011,"Banks County, Georgia",2488,5474
394,0500000US13013,"Barrow County, Georgia",9907,17600
395,0500000US13015,"Bartow County, Georgia",14536,26319
396,0500000US13017,"Ben Hill County, Georgia",4925,6401
397,0500000US13019,"Berrien County, Georgia",4564,6857
398,0500000US13021,"Bibb County, Georgia",36511,51442
399,0500000US13023,"Bleckley County, Georgia",2022,3462
400,0500000US13025,"Brantley County, Georgia",3654,7003
401,0500000US13027,"Brooks County, Georgia",3500,5664
402,0500000US13029,"Bryan County, Georgia",4565,6327
403,0500000US13031,"Bulloch County, Georgia",17874,24948
404,0500000US13033,"Burke County, Georgia",4928,7560
405,0500000US13035,"Butts County, Georgia",4565,6826
406,0500000US13037,"Calhoun County, Georgia",1204,2044
407,0500000US13039,"Camden County, Georgia",7961,12775
408,0500000US13043,"Candler County, Georgia",3241,4725
409,0500000US13045,"Carroll County, Georgia",19618,31239
410,0500000US13047,"Catoosa County, Georgia",6516,12261
411,0500000US13049,"Charlton County, Georgia",2977,4761
412,0500000US13051,"Chatham County, Georgia",41529,68325
