,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1573,0500000US29179,"Reynolds County, Missouri",112,54,6,85,6250,6530
1574,0500000US29181,"Ripley County, Missouri",24,30,12,167,13458,13936
1575,0500000US29183,"St. Charles County, Missouri",16761,736,8873,11715,343464,379856
1576,0500000US29185,"St. Clair County, Missouri",73,38,26,201,9055,9444
1577,0500000US29186,"Ste. Genevieve County, Missouri",193,0,16,183,17245,17937
1578,0500000US29187,"St. Francois County, Missouri",3137,161,105,950,61766,66230
1579,0500000US29189,"St. Louis County, Missouri",235920,1622,38459,27008,692735,1000560
1580,0500000US29195,"Saline County, Missouri",1226,34,61,2201,19929,23214
1581,0500000US29197,"Schuyler County, Missouri",47,3,0,15,4293,4396
1582,0500000US29199,"Scotland County, Missouri",82,0,0,16,4788,4893
1583,0500000US29201,"Scott County, Missouri",4726,143,33,817,33414,38994
1584,0500000US29203,"Shannon County, Missouri",16,133,0,146,7896,8256
1585,0500000US29205,"Shelby County, Missouri",112,1,4,93,5988,6148
1586,0500000US29207,"Stoddard County, Missouri",459,38,14,468,28952,29788
1587,0500000US29209,"Stone County, Missouri",43,261,9,616,30109,31197
1588,0500000US29211,"Sullivan County, Missouri",87,30,48,1175,5947,6416
1589,0500000US29213,"Taney County, Missouri",462,358,437,2892,49835,53853
1590,0500000US29215,"Texas County, Missouri",451,602,29,513,23898,25690
1591,0500000US29217,"Vernon County, Missouri",200,97,142,425,19959,20836
1592,0500000US29219,"Warren County, Missouri",703,56,124,1054,31302,33290
1593,0500000US29221,"Washington County, Missouri",594,96,9,79,23702,25002
1594,0500000US29223,"Wayne County, Missouri",90,51,8,195,12944,13341
1595,0500000US29225,"Webster County, Missouri",458,153,112,696,35389,37075
1596,0500000US29227,"Worth County, Missouri",0,0,0,33,2013,2061
1597,0500000US29229,"Wright County, Missouri",115,30,63,304,17779,18378
1598,0500000US29510,"St. Louis city, Missouri",151372,734,9660,12216,144226,316030
1599,0500000US30001,"Beaverhead County, Montana",8,209,154,358,8876,9317
1600,0500000US30003,"Big Horn County, Montana",13,8594,12,691,4188,13214
1601,0500000US30005,"Blaine County, Montana",15,3269,0,158,3126,6609
1602,0500000US30007,"Broadwater County, Montana",10,86,80,70,5367,5692
1603,0500000US30009,"Carbon County, Montana",1,133,24,246,10038,10340
1604,0500000US30011,"Carter County, Montana",0,5,0,18,1269,1295
1605,0500000US30013,"Cascade County, Montana",999,3672,726,3353,72844,82049
1606,0500000US30015,"Chouteau County, Montana",3,1194,10,124,4461,5837
1607,0500000US30017,"Custer County, Montana",43,307,45,353,11326,11980
1608,0500000US30019,"Daniels County, Montana",0,18,0,38,1761,1787
1609,0500000US30021,"Dawson County, Montana",62,238,18,263,8945,9431
1610,0500000US30023,"Deer Lodge County, Montana",32,128,34,282,8515,9176
1611,0500000US30025,"Fallon County, Montana",38,35,25,50,2786,2913
1612,0500000US30027,"Fergus County, Montana",18,179,104,94,10882,11429
1613,0500000US30029,"Flathead County, Montana",248,1524,492,2417,89762,94696
1614,0500000US30031,"Gallatin County, Montana",354,912,1261,3075,92876,97958
1615,0500000US30033,"Garfield County, Montana",0,0,0,8,1060,1061
1616,0500000US30035,"Glacier County, Montana",36,8818,68,386,4543,13695
1617,0500000US30037,"Golden Valley County, Montana",25,0,0,49,683,730
1618,0500000US30039,"Granite County, Montana",2,19,2,64,3101,3212
1619,0500000US30041,"Hill County, Montana",3,4019,84,541,11828,16529
1620,0500000US30043,"Jefferson County, Montana",8,190,31,254,11011,11601
1621,0500000US30045,"Judith Basin County, Montana",0,22,0,30,1948,1981
1622,0500000US30047,"Lake County, Montana",72,7414,120,1197,19966,29311
1623,0500000US30049,"Lewis and Clark County, Montana",290,1656,443,1954,61913,65989
1624,0500000US30051,"Liberty County, Montana",0,29,0,17,2221,2292
1625,0500000US30053,"Lincoln County, Montana",11,197,109,516,18453,19268
1626,0500000US30055,"McCone County, Montana",0,96,9,15,1547,1678
1627,0500000US30057,"Madison County, Montana",28,39,14,235,7471,7810
1628,0500000US30059,"Meagher County, Montana",0,23,0,38,1907,1960
1629,0500000US30061,"Mineral County, Montana",2,14,32,56,4154,4223
1630,0500000US30063,"Missoula County, Montana",483,2781,1421,3413,104191,113101
1631,0500000US30065,"Musselshell County, Montana",11,42,67,127,4565,4778
1632,0500000US30067,"Park County, Montana",50,135,11,412,15231,15843
1633,0500000US30069,"Petroleum County, Montana",0,0,0,0,445,445
1634,0500000US30071,"Phillips County, Montana",0,408,0,90,3612,4150
1635,0500000US30073,"Pondera County, Montana",24,941,25,116,5025,6166
1636,0500000US30075,"Powder River County, Montana",0,21,0,25,1581,1648
1637,0500000US30077,"Powell County, Montana",29,291,68,170,6365,6928
1638,0500000US30079,"Prairie County, Montana",0,17,0,21,1361,1414
1639,0500000US30081,"Ravalli County, Montana",32,228,231,1322,39389,41130
1640,0500000US30083,"Richland County, Montana",0,379,46,566,10713,11392
1641,0500000US30085,"Roosevelt County, Montana",6,6133,23,331,4119,11230
1642,0500000US30087,"Rosebud County, Montana",18,3377,45,424,5605,9348
1643,0500000US30089,"Sanders County, Montana",18,433,55,299,10456,11375
1644,0500000US30091,"Sheridan County, Montana",3,54,9,84,3391,3645
1645,0500000US30093,"Silver Bow County, Montana",202,780,305,1411,32727,34560
1646,0500000US30095,"Stillwater County, Montana",33,35,42,311,8930,9342
1647,0500000US30097,"Sweet Grass County, Montana",7,0,30,66,3464,3634
1648,0500000US30099,"Teton County, Montana",5,127,22,86,5759,6067
1649,0500000US30101,"Toole County, Montana",3,276,96,171,4648,5114
1650,0500000US30103,"Treasure County, Montana",0,11,12,42,779,846
1651,0500000US30105,"Valley County, Montana",6,735,16,166,6560,7576
1652,0500000US30107,"Wheatland County, Montana",0,33,0,50,2035,2109
1653,0500000US30109,"Wibaux County, Montana",0,0,0,17,1143,1143
1654,0500000US30111,"Yellowstone County, Montana",1009,6946,1060,8171,140985,155344
1655,0500000US31001,"Adams County, Nebraska",305,85,421,2809,29440,31536
1656,0500000US31003,"Antelope County, Nebraska",17,22,18,202,6278,6421
1657,0500000US31005,"Arthur County, Nebraska",0,0,0,0,426,437
1658,0500000US31007,"Banner County, Nebraska",10,0,2,77,765,793
