,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
179,0500000US13217,"Newton County, Georgia",108135,65733,14169,26666,79902
180,0500000US13223,"Paulding County, Georgia",162820,102982,16735,22725,119717
181,0500000US13245,"Richmond County, Georgia",190976,119816,26712,67068,146528
182,0500000US13247,"Rockdale County, Georgia",89356,54977,12577,19196,67554
183,0500000US13255,"Spalding County, Georgia",64668,37311,11821,18261,49132
184,0500000US13285,"Troup County, Georgia",68298,41817,9715,22723,51532
185,0500000US13295,"Walker County, Georgia",67780,40042,12754,19033,52796
186,0500000US13297,"Walton County, Georgia",92277,55575,13702,19192,69277
187,0500000US13313,"Whitfield County, Georgia",102783,61102,14378,27327,75480
188,0500000US15001,"Hawaii County, Hawaii",198192,113019,42425,46391,155444
189,0500000US15003,"Honolulu County, Hawaii",947926,574176,170172,123769,744348
190,0500000US15007,"Kauai County, Hawaii",71341,41342,14423,12337,55765
191,0500000US15009,"Maui County, Hawaii",164915,99333,30236,21137,129569
192,0500000US16001,"Ada County, Idaho",460116,283856,66322,76385,350178
193,0500000US16005,"Bannock County, Idaho",85289,50612,12154,22824,62766
194,0500000US16019,"Bonneville County, Idaho",115829,65175,14833,23521,80008
195,0500000US16027,"Canyon County, Idaho",219912,126998,31454,51446,158452
196,0500000US16055,"Kootenai County, Idaho",159779,93746,29904,33611,123650
197,0500000US16083,"Twin Falls County, Idaho",85040,48871,12685,19160,61556
198,0500000US17001,"Adams County, Illinois",64368,37071,12442,13217,49513
199,0500000US17019,"Champaign County, Illinois",194474,130535,25460,55796,155995
200,0500000US17031,"Cook County, Illinois",5095522,3240161,735788,1121261,3975949
201,0500000US17037,"DeKalb County, Illinois",99303,64688,12761,19468,77449
202,0500000US17043,"DuPage County, Illinois",914854,567041,139425,101105,706466
203,0500000US17089,"Kane County, Illinois",527933,322981,71526,85785,394507
204,0500000US17091,"Kankakee County, Illinois",105667,63317,17544,28423,80861
205,0500000US17093,"Kendall County, Illinois",127569,77907,13330,6632,91237
206,0500000US17097,"Lake County, Illinois",682760,418414,96853,100408,515267
207,0500000US17099,"LaSalle County, Illinois",106189,63295,19752,22224,83047
208,0500000US17111,"McHenry County, Illinois",306266,190795,44047,27851,234842
209,0500000US17113,"McLean County, Illinois",164375,105725,21971,34605,127696
210,0500000US17115,"Macon County, Illinois",101448,58315,20180,25510,78495
211,0500000US17119,"Madison County, Illinois",258426,157977,44415,56397,202392
212,0500000US17143,"Peoria County, Illinois",175616,104899,28925,44954,133824
213,0500000US17161,"Rock Island County, Illinois",138642,80884,25951,32932,106835
214,0500000US17163,"St. Clair County, Illinois",256652,157126,39779,56097,196905
215,0500000US17167,"Sangamon County, Illinois",190831,114985,34120,41672,149105
216,0500000US17179,"Tazewell County, Illinois",129593,76060,24205,23012,100265
217,0500000US17183,"Vermilion County, Illinois",73670,41556,14678,21773,56234
218,0500000US17197,"Will County, Illinois",682218,423723,88533,82338,512256
219,0500000US17199,"Williamson County, Illinois",64571,38002,12193,18624,50195
220,0500000US17201,"Winnebago County, Illinois",278842,166662,47890,73042,214552
221,0500000US18003,"Allen County, Indiana",368922,221563,52945,86476,274508
222,0500000US18005,"Bartholomew County, Indiana",81615,49204,12999,12960,62203
223,0500000US18011,"Boone County, Indiana",66249,40311,8432,5524,48743
