,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150
363,0500000US27037,"Dakota County, Minnesota",426249,261525,62024,46155
364,0500000US27053,"Hennepin County, Minnesota",1244386,793687,179027,190725
365,0500000US27109,"Olmsted County, Minnesota",155863,93179,24617,19148
366,0500000US27123,"Ramsey County, Minnesota",536632,331755,79156,108530
367,0500000US27131,"Rice County, Minnesota",58482,34221,10169,7762
368,0500000US27137,"St. Louis County, Minnesota",190830,116694,38278,38746
369,0500000US27139,"Scott County, Minnesota",147142,91111,15985,9830
370,0500000US27141,"Sherburne County, Minnesota",93816,58868,10874,7102
371,0500000US27145,"Stearns County, Minnesota",154978,92910,24943,28217
372,0500000US27163,"Washington County, Minnesota",258765,156737,39718,19446
373,0500000US27171,"Wright County, Minnesota",137043,81071,18125,10084
374,0500000US28033,"DeSoto County, Mississippi",183057,113011,24188,30365
375,0500000US28035,"Forrest County, Mississippi",71960,44901,10282,25446
376,0500000US28047,"Harrison County, Mississippi",202552,122606,31289,60226
377,0500000US28049,"Hinds County, Mississippi",223509,136097,33533,75852
378,0500000US28059,"Jackson County, Mississippi",141022,85360,23844,33863
379,0500000US28067,"Jones County, Mississippi",66396,37816,11858,24995
380,0500000US28075,"Lauderdale County, Mississippi",70319,40821,12537,22891
381,0500000US28081,"Lee County, Mississippi",84216,50834,12430,18636
382,0500000US28089,"Madison County, Mississippi",104816,64376,14228,20901
383,0500000US28121,"Rankin County, Mississippi",150634,91553,23838,25247
384,0500000US29019,"Boone County, Missouri",171566,113922,21553,48008
385,0500000US29021,"Buchanan County, Missouri",83001,50664,13506,24144
386,0500000US29031,"Cape Girardeau County, Missouri",75558,47063,12216,18118
387,0500000US29037,"Cass County, Missouri",104422,62020,17499,17491
388,0500000US29043,"Christian County, Missouri",87545,52225,13675,17670
389,0500000US29047,"Clay County, Missouri",247828,153024,35489,41738
390,0500000US29051,"Cole County, Missouri",70734,41247,13152,11766
391,0500000US29071,"Franklin County, Missouri",102423,61434,18186,16821
392,0500000US29077,"Greene County, Missouri",280555,175492,47089,73809
393,0500000US29095,"Jackson County, Missouri",691159,425798,104653,147872
394,0500000US29097,"Jasper County, Missouri",118963,70720,18903,37466
395,0500000US29099,"Jefferson County, Missouri",222160,138109,33860,31022
396,0500000US29165,"Platte County, Missouri",103348,63880,15317,12930
397,0500000US29183,"St. Charles County, Missouri",394168,241012,62088,32751
398,0500000US29187,"St. Francois County, Missouri",60348,36857,10247,18502
399,0500000US29189,"St. Louis County, Missouri",972269,582481,177464,140820
400,0500000US29510,"St. Louis city, Missouri",291953,194758,42142,84869
401,0500000US30013,"Cascade County, Montana",78728,46374,15029,18724
402,0500000US30029,"Flathead County, Montana",102779,60142,20541,18492
403,0500000US30031,"Gallatin County, Montana",110024,73172,15304,18845
404,0500000US30049,"Lewis and Clark County, Montana",67670,40895,13474,10762
405,0500000US30063,"Missoula County, Montana",117012,75812,19216,20937
406,0500000US30111,"Yellowstone County, Montana",157348,93698,27619,31149
407,0500000US31055,"Douglas County, Nebraska",559234,340846,74750,104685
408,0500000US31109,"Lancaster County, Nebraska",305208,189856,44723,58465
409,0500000US31153,"Sarpy County, Nebraska",185249,112921,22107,20137
410,0500000US32003,"Clark County, Nevada",2239097,1387875,339883,471464
411,0500000US32031,"Washoe County, Nevada",465871,287906,78927,84143
412,0500000US33005,"Cheshire County, New Hampshire",71554,42426,15412,11427
413,0500000US33009,"Grafton County, New Hampshire",83815,51309,18358,13290
414,0500000US33011,"Hillsborough County, New Hampshire",408711,262157,64313,50838
415,0500000US33013,"Merrimack County, New Hampshire",144948,89671,26804,17928
416,0500000US33015,"Rockingham County, New Hampshire",305969,191475,56694,23905
417,0500000US33017,"Strafford County, New Hampshire",120467,77956,20311,16167
418,0500000US34001,"Atlantic County, New Jersey",258409,155429,47906,48779
419,0500000US34003,"Bergen County, New Jersey",922214,566916,160732,88909
420,0500000US34005,"Burlington County, New Jersey",433658,268025,75006,42850
421,0500000US34007,"Camden County, New Jersey",498864,307341,79479,84574
422,0500000US34009,"Cape May County, New Jersey",90325,50383,24001,12773
423,0500000US34011,"Cumberland County, New Jersey",138614,81187,22095,35493
424,0500000US34013,"Essex County, New Jersey",778227,483621,107039,171326
425,0500000US34015,"Gloucester County, New Jersey",287854,178562,46717,37043
426,0500000US34017,"Hudson County, New Jersey",663067,449325,79775,149928
427,0500000US34019,"Hunterdon County, New Jersey",120902,74121,23970,7953
428,0500000US34021,"Mercer County, New Jersey",349835,217346,55321,61047
429,0500000US34023,"Middlesex County, New Jersey",802017,499668,125200,119256
430,0500000US34025,"Monmouth County, New Jersey",612785,374670,109861,62326
431,0500000US34027,"Morris County, New Jersey",484901,299165,83811,47745
432,0500000US34029,"Ocean County, New Jersey",600174,319513,135913,90014
433,0500000US34031,"Passaic County, New Jersey",493955,303192,73195,109438
434,0500000US34033,"Salem County, New Jersey",61090,36486,11777,12547
435,0500000US34035,"Somerset County, New Jersey",325647,203948,51838,26679
436,0500000US34037,"Sussex County, New Jersey",139188,88096,24049,11105
437,0500000US34039,"Union County, New Jersey",548535,341655,79342,88369
438,0500000US34041,"Warren County, New Jersey",102713,64217,19254,10020
